Tid,Kilopris_Fersk,Vekt_Fersk,Frosen oppalen laks_Kilopris (kr),Frosen oppalen laks_Vekt (tonn)
2000U01,4054.0,3728.0,3730.0,4043.0
2000U02,4415.0,3831.0,4463.0,4617.0
2000U03,4274.0,4025.0,5004.0,4797.0
2000U04,6091.0,5336.0,3511.0,6460.0
2000U05,4537.0,4224.0,4527.0,4922.0
2000U06,4500.0,5188.0,4601.0,5062.0
2000U07,5075.0,5185.0,3930.0,4775.0
2000U08,3584.0,3825.0,4776.0,4667.0
2000U09,5381.0,4649.0,5469.0,5973.0
2000U10,5854.0,5597.0,5978.0,6081.0
2000U11,5829.0,5637.0,5937.0,6040.0
2000U12,6690.0,6442.0,6017.0,6565.0
2000U13,5263.0,8205.0,3266.0,7839.0
2000U14,4959.0,4089.0,4470.0,4610.0
2000U15,4462.0,4523.0,3807.0,4533.0
2000U16,4936.0,4772.0,5328.0,5334.0
2000U17,6047.0,5283.0,4253.0,3776.0
2000U18,4547.0,5246.0,4913.0,5184.0
2000U19,5554.0,5052.0,5454.0,4129.0
2000U20,5077.0,4891.0,4272.0,4247.0
2000U21,4075.0,4015.0,3994.0,4372.0
2000U22,4843.0,4821.0,4746.0,5175.0
2000U23,4999.0,4833.0,5121.0,5478.0
2000U24,4935.0,4492.0,5369.0,5169.0
2000U25,5808.0,5196.0,6132.0,5488.0
2000U26,9219.0,6720.0,2793.0,7911.0
2000U27,4595.0,3353.0,3346.0,3872.0
2000U28,4730.0,1263.0,4013.0,4081.0
2000U29,5121.0,5140.0,6336.0,5765.0
2000U30,4828.0,3748.0,4897.0,5104.0
2000U31,4860.0,4493.0,5929.0,5118.0
2000U32,5663.0,5521.0,5993.0,5932.0
2000U33,5254.0,5172.0,4476.0,5145.0
2000U34,4766.0,5131.0,5210.0,4785.0
2000U35,4924.0,5169.0,5067.0,4973.0
2000U36,5064.0,5352.0,5412.0,4894.0
2000U37,5059.0,5261.0,5502.0,6252.0
2000U38,5757.0,6145.0,6830.0,5700.0
2000U39,9967.0,8613.0,2628.0,8424.0
2000U40,5503.0,2825.0,4812.0,5051.0
2000U41,4607.0,4752.0,4772.0,4702.0
2000U42,5586.0,4265.0,5066.0,5101.0
2000U43,6481.0,6378.0,4648.0,6695.0
2000U44,5162.0,5944.0,6581.0,5986.0
2000U45,5799.0,6510.0,6434.0,6385.0
2000U46,6179.0,5769.0,6185.0,5768.0
2000U47,5548.0,5054.0,5434.0,5987.0
2000U48,5399.0,6220.0,6565.0,6289.0
2000U49,5621.0,5636.0,6337.0,7397.0
2000U50,6976.0,6062.0,6153.0,7962.0
2000U51,7044.0,7396.0,7852.0,6429.0
2000U52,11559.0,7786.0,3691.0,9398.0
2001U01,7777.0,1306.0,5387.0,5115.0
2001U02,5171.0,5300.0,5066.0,5118.0
2001U03,5813.0,5297.0,6036.0,6063.0
2001U04,7622.0,5638.0,4778.0,4720.0
2001U05,5947.0,5059.0,6703.0,5742.0
2001U06,6487.0,4984.0,6745.0,6196.0
2001U07,6614.0,7319.0,6138.0,6634.0
2001U08,5754.0,6436.0,6542.0,5600.0
2001U09,6597.0,5601.0,6314.0,6129.0
